,医药生物,电子,银行,食品饮料,计算机,房地产,传媒,家用电器,电气设备,汽车
医药生物,0.051620188492088444,0.05063069490510968,0.018371021389389296,0.04412493985766284,0.05375482569696291,0.035807334541738414,0.04527558844244367,0.04236325639900263,0.040032149819261176,0.041002105291254476
电子,0.05063069490510968,0.0956439284378174,0.022752088710932792,0.04460784413485762,0.0906627006017176,0.042288819720010536,0.06674740057716147,0.04881746110028119,0.062366153340371364,0.054874646879452545
银行,0.018371021389389296,0.022752088710932792,0.030758305300743343,0.023288878030134606,0.022469975394545254,0.02599944608952123,0.0198083588450345,0.027086344003714277,0.01987203392463364,0.0223893617285104
食品饮料,0.04412493985766284,0.04460784413485762,0.023288878030134606,0.06936603264469264,0.039490347034657564,0.03493956122305279,0.034278420668458875,0.044961643704741455,0.03368598959776392,0.036257032396781644
计算机,0.05375482569696291,0.0906627006017176,0.022469975394545254,0.039490347034657564,0.1174260782185728,0.04763297005107996,0.07711725035367197,0.05149509489733517,0.06954328264595613,0.05902860706819768
房地产,0.035807334541738414,0.042288819720010536,0.02599944608952123,0.03493956122305279,0.04763297005107996,0.05158750866042839,0.04244041185012763,0.042945755101251176,0.04006470526125138,0.03939951888533632
传媒,0.04527558844244367,0.06674740057716147,0.019808358845034502,0.034278420668458875,0.07711725035367197,0.04244041185012763,0.07608584476251831,0.041111211534380604,0.053994420607047254,0.04648037848503129
家用电器,0.04236325639900263,0.04881746110028119,0.027086344003714277,0.044961643704741455,0.05149509489733517,0.042945755101251176,0.041111211534380604,0.06449233858523087,0.044281893726874536,0.044778225888966454
电气设备,0.040032149819261176,0.062366153340371364,0.01987203392463364,0.03368598959776392,0.06954328264595613,0.04006470526125138,0.053994420607047254,0.044281893726874536,0.06368181092555301,0.044165781713925066
汽车,0.041002105291254476,0.054874646879452545,0.0223893617285104,0.036257032396781644,0.05902860706819768,0.039399518885336327,0.04648037848503129,0.044778225888966454,0.044165781713925066,0.05771386103442418
