,Prior,Historical,Posterior
医药生物,0.18937649283976338,0.4982604689050878,0.10699900041141239
电子,0.24961189272216772,0.8983396412255367,0.12633742923188382
银行,0.11815880511882197,0.3199347689838681,0.08471292881281331
食品饮料,0.18643214886910783,0.8356542924364525,0.12079365280723928
计算机,0.2639633002202592,0.7410162834717295,0.12593595105353253
房地产,0.17851989415917174,0.28171828406439836,0.10536643343190928
传媒,0.21468192861241614,0.48126585883201956,0.09277287489166622
家用电器,0.19749407443007475,0.44115027741227664,0.12069082965105311
电气设备,0.20186306326519082,0.2606046895965024,0.10523476027379855
汽车,0.1935391668629613,0.16925485649745808,0.09899573977947221
